X,Y,Kommentar
171,364,"Tisch ?, Platz 1"
311,364,"Tisch ?, Platz 2"
472,364,"Tisch ?, Platz 3"
1015,380,"Tisch ?, Platz 4"
1155,380,"Tisch ?, Platz 5"
1477,380,"Tisch ?, Platz 6"
1316,380,"Tisch ?, Platz 7"
172,661,"Tisch ?, Platz 8"
634,661,"Tisch ?, Platz 9"
1458,661,"Tisch ?, Platz 10"
312,661,"Tisch ?, Platz 11"
473,661,"Tisch ?, Platz 12"
312,974,"Tisch ?, Platz 13"
473,974,"Tisch ?, Platz 14"
1295,974,"Tisch ?, Platz 15"
1155,974,"Tisch ?, Platz 16"
172,974,"Tisch ?, Platz 17"
1456,974,"Tisch ?, Platz 18"
1295,1249,"Tisch ?, Platz 19"
1155,1249,"Tisch ?, Platz 20"
1456,1249,"Tisch ?, Platz 21"
182,1249,"Tisch ?, Platz 22"
322,1249,"Tisch ?, Platz 23"
483,1249,"Tisch ?, Platz 24"
225,1696,"Tisch ?, Platz 25"
396,1696,"Tisch ?, Platz 26"
225,1746,"Tisch ?, Platz 27"
396,1746,"Tisch ?, Platz 28"
