X,Y,Kommentar
200,170,"Tisch 1, Platz 1"
360,170,"Tisch 1, Platz 2"
200,330,"Tisch 1, Platz 3"
360,330,"Tisch 1, Platz 4"
680,170,"Tisch 2, Platz 1"
850,170,"Tisch 2, Platz 2"
680,330,"Tisch 2, Platz 3"
850,330,"Tisch 2, Platz 4"
1230,170,"Tisch 3, Platz 1"
1410,170,"Tisch 3, Platz 2"
1230,330,"Tisch 3, Platz 3"
1410,330,"Tisch 3, Platz 4"
200,620,"Tisch 4, Platz 1"
360,620,"Tisch 4, Platz 2"
200,780,"Tisch 4, Platz 3"
360,780,"Tisch 4, Platz 4"
680,620,"Tisch 5, Platz 1"
850,620,"Tisch 5, Platz 2"
680,780,"Tisch 5, Platz 3"
850,780,"Tisch 5, Platz 4"
1230,620,"Tisch 6, Platz 1"
1410,620,"Tisch 6, Platz 2"
1230,780,"Tisch 6, Platz 3"
1410,780,"Tisch 6, Platz 4"
1240,920,"Tisch 7, Platz 1"
1480,920,"Tisch 7, Platz 2"
1240,1080,"Tisch 7, Platz 3"
1480,1080,"Tisch 7, Platz 4"
